index,Match Type,POTM,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Winner,Win_Margin,Result_Type,Target_Runs,Season,Match
0,League,Ajinkya Rahane,Wankhede,MI,RPS,Mumbai Indians,bat,Supergiants,9.0,wicket,121.0,2016,"['1st', 'match']"
1,League,Andre Russell,Eden Gardens,DC,KKR,Kolkata Knight Riders,field,KKR,9.0,wicket,98.0,2016,"['2nd', 'match']"
2,League,Aaron Finch,Mohali,KXIP,GL,Gujarat Lions,field,Guj,5.0,wicket,161.0,2016,"['3rd', 'match']"
3,League,AB de Villiers,Bengaluru,RCB,SRH,Sunrisers Hyderabad,field,RCB,45.0,runs,227.0,2016,"['4th', 'match']"
4,League,Rohit Sharma,Eden Gardens,KKR,MI,Mumbai Indians,field,MI,6.0,wicket,187.0,2016,"['5th', 'match']"
5,League,Aaron Finch,Rajkot,RPS,GL,Rising Pune Supergiants,bat,Guj,7.0,wicket,163.0,2016,"['6th', 'match']"
6,League,Amit Mishra,Delhi,KXIP,DC,Delhi Daredevils,field,Daredevils,8.0,wicket,111.0,2016,"['7th', 'match']"
7,League,Gautam Gambhir,Hyderabad,SRH,KKR,Sunrisers Hyderabad,bat,KKR,8.0,wicket,142.0,2016,"['8th', 'match']"
8,League,Aaron Finch,Wankhede,MI,GL,Gujarat Lions,field,Guj,3.0,wicket,143.0,2016,"['9th', 'match']"
9,League,Manan Vohra,Mohali,RPS,KXIP,Rising Pune Supergiants,bat,Kings,6.0,wicket,152.0,2016,"['10th', 'match']"
10,League,Quinton de Kock,Bengaluru,RCB,DC,Delhi Daredevils,field,Daredevils,7.0,wicket,191.0,2016,"['11th', 'match']"
11,League,David Warner,Hyderabad,MI,SRH,Sunrisers Hyderabad,field,SRH,7.0,wicket,142.0,2016,"['12th', 'match']"
12,League,Robin Uthappa,Mohali,KXIP,KKR,Kolkata Knight Riders,field,KKR,6.0,wicket,138.0,2016,"['13th', 'match']"
13,League,Rohit Sharma,Wankhede,RCB,MI,Mumbai Indians,field,MI,6.0,wicket,170.0,2016,"['14th', 'match']"
14,League,Bhuvneshwar Kumar,Rajkot,GL,SRH,Sunrisers Hyderabad,field,SRH,10.0,wicket,135.0,2016,"['15th', 'match']"
15,League,AB de Villiers,Pune,RCB,RPS,Rising Pune Supergiants,field,RCB,13.0,runs,185.0,2016,"['16th', 'match']"
16,League,Sanju Samson,Delhi,DC,MI,Mumbai Indians,field,Daredevils,10.0,runs,164.0,2016,"['17th', 'match']"
17,League,Mustafizur Rahman,Hyderabad,KXIP,SRH,Sunrisers Hyderabad,field,SRH,5.0,wicket,143.0,2016,"['18th', 'match']"
18,League,Virat Kohli,Rajkot,RCB,GL,Royal Challengers Bangalore,bat,Guj,6.0,wicket,180.0,2016,"['19th', 'match']"
19,League,Suryakumar Yadav,Pune,RPS,KKR,Kolkata Knight Riders,field,KKR,2.0,wicket,160.0,2016,"['20th', 'match']"
20,League,Parthiv Patel,Mohali,MI,KXIP,Kings XI Punjab,field,MI,25.0,runs,189.0,2016,"['21st', 'match']"
21,League,Ashok Dinda,Hyderabad,SRH,RPS,Rising Pune Supergiants,field,Supergiants,34.0,runs,118.0,2016,"['22nd', 'match']"
22,League,Chris Morris,Delhi,GL,DC,Delhi Daredevils,field,Guj,1.0,runs,172.0,2016,"['23rd', 'match']"
23,League,Rohit Sharma,Wankhede,KKR,MI,Mumbai Indians,field,MI,6.0,wicket,174.0,2016,"['24th', 'match']"
24,League,Dwayne Smith,Pune,RPS,GL,Gujarat Lions,field,Guj,3.0,wicket,195.0,2016,"['25th', 'match']"
25,League,Carlos Brathwaite,Delhi,DC,KKR,Kolkata Knight Riders,field,Daredevils,27.0,runs,186.0,2016,"['26th', 'match']"
26,League,David Warner,Hyderabad,SRH,RCB,Royal Challengers Bangalore,field,SRH,15.0,runs,194.0,2016,"['27th', 'match']"
27,League,Axar Patel,Rajkot,KXIP,GL,Gujarat Lions,field,Kings,23.0,runs,154.0,2016,"['28th', 'match']"
28,League,Rohit Sharma,Pune,RPS,MI,Mumbai Indians,field,MI,8.0,wicket,159.0,2016,"['29th', 'match']"
29,League,Andre Russell,Bengaluru,RCB,KKR,Kolkata Knight Riders,field,KKR,5.0,wicket,185.0,2016,"['30th', 'match']"
30,League,Rishabh Pant,Rajkot,GL,DC,Delhi Daredevils,field,Daredevils,8.0,wicket,149.0,2016,"['31st', 'match']"
31,League,Andre Russell,Eden Gardens,KKR,KXIP,Kings XI Punjab,field,KKR,7.0,runs,164.0,2016,"['32nd', 'match']"
32,League,Ajinkya Rahane,Delhi,DC,RPS,Rising Pune Supergiants,field,Supergiants,7.0,wicket,162.0,2016,"['33rd', 'match']"
33,League,Bhuvneshwar Kumar,Hyderabad,GL,SRH,Sunrisers Hyderabad,field,SRH,5.0,wicket,126.0,2016,"['34th', 'match']"
34,League,Virat Kohli,Bengaluru,RPS,RCB,Royal Challengers Bangalore,field,RCB,7.0,wicket,191.0,2016,"['35th', 'match']"
35,League,Marcus Stoinis,Mohali,KXIP,DC,Delhi Daredevils,field,Kings,9.0,runs,181.0,2016,"['36th', 'match']"
36,League,Ashish Nehra,Visakhapatnam,SRH,MI,Mumbai Indians,field,SRH,85.0,runs,177.0,2016,"['37th', 'match']"
37,League,Praveen Kumar,Eden Gardens,KKR,GL,Gujarat Lions,field,Guj,5.0,wicket,158.0,2016,"['38th', 'match']"
38,League,Shane Watson,Mohali,RCB,KXIP,Kings XI Punjab,field,RCB,1.0,runs,175.0,2016,"['39th', 'match']"
39,League,Adam Zampa,Visakhapatnam,SRH,RPS,Sunrisers Hyderabad,bat,SRH,4.0,runs,137.0,2016,"['40th', 'match']"
40,League,Krunal Pandya,Bengaluru,RCB,MI,Mumbai Indians,field,MI,6.0,wicket,151.0,2016,"['41st', 'match']"
41,League,Chris Morris,Hyderabad,SRH,DC,Delhi Daredevils,field,Daredevils,7.0,wicket,146.0,2016,"['42nd', 'match']"
42,League,Marcus Stoinis,Visakhapatnam,MI,KXIP,Mumbai Indians,bat,Kings,7.0,wicket,124.0,2016,"['43rd', 'match']"
43,League,AB de Villiers,Bengaluru,RCB,GL,Gujarat Lions,field,RCB,144.0,runs,248.0,2016,"['44th', 'match']"
44,League,Yusuf Pathan,Eden Gardens,RPS,KKR,Rising Pune Supergiants,bat,KKR,8.0,wicket,103.0,2016,"['45th', 'match']"
45,League,Hashim Amla,Mohali,KXIP,SRH,Kings XI Punjab,bat,SRH,7.0,wicket,179.0,2016,"['46th', 'match']"
46,League,Krunal Pandya,Visakhapatnam,MI,DC,Delhi Daredevils,field,MI,80.0,runs,206.0,2016,"['47th', 'match']"
47,League,Virat Kohli,Eden Gardens,KKR,RCB,Royal Challengers Bangalore,field,RCB,9.0,wicket,183.0,2016,"['48th', 'match']"
